Country,Date Start,Keywords
Moldova,2020-03-07,"case reporting, first case"
Poland,2020-03-14,international travel ban - all countries
Poland,2020-03-14,limited nonessential business suspension
United States,2020-03-16,outdoor gatherings banned
Slovakia,2020-03-16,"public announcement, public hygiene, public mask encouragement"
United States,2020-03-16,blanket isolation - no symptoms
Portugal,2020-03-16,international travel ban - risk countries
Moldova,2020-03-10,international travel ban - all countries
Malta,2020-03-13,outdoor gatherings banned
Malta,2020-03-07,"case reporting, first case"
Slovakia,2020-03-12,"emergency declaration, state of emergency"
Slovakia,2020-03-13,"international traveller quarantine - risk countries, quarantine zone"
Slovakia,2020-03-13,international travel ban - all countries
Poland,2020-03-15,religious activity limitations
Ukraine,2020-03-12,social distancing
Lithuania,2020-03-16,general nonessential business suspension
Slovakia,2020-03-16,"cultural activity limitation, religious activity cancellation, sports cancellation, visiting in hospital banned"
Poland,2020-03-04,first case
Poland,2020-03-15,outdoor gatherings banned
Slovakia,2020-03-06,"case reporting, first case"
Serbia,2020-03-16,"nursery school closure, school closure, university closure"
Slovakia,2020-03-16,"nursery school closure, school closure, university closure"
Switzerland,2020-03-13,"nursery school closure, school closure, university closure"
Switzerland,2020-02-25,"case reporting, first case"
Switzerland,2020-03-13,outdoor gatherings banned
Switzerland,2020-02-28,outdoor gatherings banned
Norway,2020-03-12,"closure nonessential stores, limited nonessential business suspension"
Norway,2020-03-12,"nursery school closure, school closure, university closure"
Norway,2020-03-16,international travel ban - all countries
Romania,2020-03-08,outdoor gatherings banned
Romania,2020-03-11,indoor gatherings banned
Romania,2020-02-21,international traveller quarantine - risk countries
Romania,2020-03-02,international traveller quarantine - risk countries
Norway,2020-03-12,outdoor gatherings banned
Montenegro,2020-03-17,"case reporting, first case"
Switzerland,2020-03-13,international travel ban - risk countries
Norway,2020-03-13,international travel ban - all countries
Norway,2020-03-10,"case reporting, community spread"
Montenegro,2020-03-17,public transport stopped
Monaco,2020-02-29,"case reporting, first case"
Switzerland,2020-03-16,general nonessential business suspension
Romania,2020-03-09,international travel ban - risk countries
Romania,2020-02-28,religious activity limitations
Norway,2020-02-26,"case reporting, first case"
Germany,2020-03-13,"nursery school closure, school closure"
Czechia,2020-03-01,"case reporting, first case"
Czechia,2020-03-05,"event cancellation - other, very large event cancellation or postponement"
US: Florida,2020-03-15,activity cancellation - other
Czechia,2020-03-08,"contact isolation - symptoms, remote medical treatment, remote medical treatment - symptomatic"
Germany,2020-03-16,international travel ban - all countries
Czechia,2020-03-03,prohibition of medicine export
Czechia,2020-03-04,public hygiene
Romania,2020-02-26,coronavirus education activities
Czechia,2020-03-05,international travel ban - risk countries
Czechia,2020-03-05,prohibition of medicine export
Iran,2020-03-06,"school closure, university closure"
Germany,2020-03-16,general nonessential business suspension
Germany,2020-03-17,outbound traveller ban
Germany,2020-03-17,domestic travel limitation
Germany,2020-03-16,"emergency declaration, special management arrangements, state of emergency"
Germany,2020-03-14,limited nonessential business suspension
Serbia,2020-03-18,international travel ban - all countries
Serbia,2020-03-15,"emergency declaration, state of emergency"
Czechia,2020-03-10,visiting in hospital banned
Montenegro,2020-03-17,limited nonessential business suspension
Serbia,2020-03-12,indoor gatherings banned
Serbia,2020-03-18,"blanket curfew - no symptoms, elderly"
Czechia,2020-02-07,public facility cleaning
Czechia,2020-03-16,international travel ban - all countries
Czechia,2020-02-03,international travel ban - risk countries
Czechia,2020-02-26,international traveller screening - risk countries
Czechia,2020-02-25,outbound travel warning
Czechia,2020-03-19,hygiene enforcement
Czechia,2020-03-17,prohibition of medicine export
Czechia,2020-03-16,public announcement
Czechia,2020-03-16,business resumed
Czechia,2020-03-16,"domestic travel ban, social distancing"
Czechia,2020-01-27,hygiene enforcement
Czechia,2020-01-30,public announcement
Czechia,2020-01-31,international traveller screening - all countries
Czechia,2020-02-13,public announcement
Czechia,2020-02-24,public announcement
Czechia,2020-02-27,"public announcement, special management arrangements"
Czechia,2020-03-19,hygiene enforcement
Czechia,2020-03-19,domestic travel limitation
Albania,2020-03-08,case reporting
US: Florida,2020-03-23,"remote schooling, university closure"
US: Florida,2020-03-11,"remote schooling, university closure"
Portugal,2020-03-19,state of emergency
Australia,2020-03-15,international traveller quarantine - all countries
Australia,2020-03-15,outdoor gatherings banned
Australia,2020-03-20,international travel ban - all countries
Germany,2020-03-18,"coronavirus education activities, public announcement, social distancing advice"
Russia,2020-03-17,sports cancellation
Russia,2020-03-20,international travel ban - risk countries
Russia,2020-03-16,international travel ban - risk countries
Russia,2020-03-12,outdoor gatherings banned
Russia,2020-03-10,outdoor gatherings banned
Belgium,2020-03-18,blanket isolation - no symptoms
Russia,2020-02-03,international travel ban - risk countries
Russia,2020-03-18,international travel ban - all countries
Russia,2020-03-17,religious activity limitations
Russia,2020-03-23,school closure
Romania,2020-03-11,school closure
Romania,2020-02-26,first case
Russia,2020-03-13,outdoor gatherings banned
Russia,2020-03-13,international travel ban - risk countries
Russia,2020-03-04,prohibition of medicine export
Russia,2020-03-01,international travel ban - risk countries
Russia,2020-02-28,international travel ban - risk countries
Russia,2020-03-16,school closure
Russia,2020-03-16,outdoor gatherings banned
Russia,2020-03-16,international traveller quarantine - risk countries
Russia,2020-03-13,outdoor gatherings banned
Russia,2020-03-15,international travel ban - risk countries
Romania,2020-03-14,outdoor gatherings banned
Romania,2020-03-12,prohibition of medicine export
Romania,2020-03-10,international travel ban - risk countries
Romania,2020-03-16,state of emergency
Russia,2020-01-31,first case
Germany,2020-02-28,international traveller screening - risk countries
Iran,2020-03-16,religious activity cancellation
US:N Carolina,2020-03-14,outdoor gatherings banned
US:N Carolina,2020-03-14,"remote schooling, school closure"
US: Arizona,2020-03-11,"public announcement, state of emergency"
US: Oregon,2020-03-11,outdoor gatherings banned
US: Oregon,2020-03-11,"public announcement, state of emergency"
US: Arizona,2020-03-15,"school closure, university closure"
US: Arizona,2020-03-13,school closure
US: Arizona,2020-03-12,"activity cancellation - other, school closure"
US: Oregon,2020-03-16,outdoor gatherings banned
US: Oregon,2020-03-17,ban on visit to nursing homes
US: Oregon,2020-03-16,restaurant limitations
US: Oregon,2020-03-18,"school closure, university closure"
US: Oregon,2020-03-11,"school closure, university closure"
US:California,2020-03-12,"outdoor gatherings banned, public hygiene"
US:California,2020-03-12,outdoor gatherings banned
US: Nevada,2020-03-17,"public announcement, state of emergency"
US:California,2020-03-04,"public announcement, state of emergency"
US:California,2020-03-12,outdoor gatherings banned
US:California,2020-03-12,"public announcement, state of emergency"
US:Idaho,2020-03-13,"public announcement, state of emergency"
US:Utah,2020-03-18,limited nonessential business suspension
US: Nevada,2020-03-17,general nonessential business suspension
US:Utah,2020-03-18,"limited nonessential business suspension, restaurant limitations"
US:Utah,2020-03-13,school closure
US:California,2020-03-13,school closure
US:California,2020-02-22,blanket isolation - no symptoms
US:California,2020-03-15,confirmed case isolation
US:California,2020-03-15,"limited nonessential business suspension, restaurant limitations"
US:Washington,2020-03-15,outdoor gatherings banned
US:Washington,2020-03-18,"hospital construction, hospital specialisation"
US:Washington,2020-03-15,"limited nonessential business suspension, restaurant limitations"
US:Washington,2020-03-11,"hygiene enforcement, public hygiene, public transport cleaning"
US:Washington,2020-03-11,outdoor gatherings banned
US:Washington,2020-03-13,school closure
US:Washington,2020-03-10,testing
US:Washington,2020-02-29,"public announcement, state of emergency"
US: Nevada,2020-03-16,school closure
Italy,2020-02-22,"limited nonessential business suspension, outdoor gatherings banned"
Italy,2020-01-31,"public announcement, special management arrangements, state of emergency"
Italy,2020-01-31,international travel ban - risk countries
Italy,2020-01-31,international traveller screening - all countries
Italy,2020-02-22,"cluster isolation - no symptoms, compulsory isolation"
Italy,2020-02-22,school closure
Italy,2020-02-22,phone line
Italy,2020-02-22,domestic travel limitation
Italy,2020-02-22,religious activity cancellation
Italy,2020-02-06,case reporting
Italy,2020-01-31,case reporting
Iran,2020-02-23,"school closure, university closure"
Iran,2020-03-09,prisoner release
Iran,2020-03-03,prisoner release
Iran,2020-03-17,prisoner release
Italy,2020-02-22,sports cancellation
Italy,2020-02-23,university closure
US: S Carolina,2020-03-21,public green closure
Turkey,2020-03-19,cultural activity limitation
Italy,2020-02-22,phone line
Italy,2020-02-22,activity cancellation - other
Italy,2020-02-22,very large event cancellation or postponement
US: S Carolina,2020-03-19,"mandated remote schooling, university closure"
Switzerland,2020-03-16,"army deployed, general nonessential business suspension, public announcement, state of emergency"
US:California,2020-03-03,confirmed case isolation
US:California,2020-01-25,confirmed case isolation
US:Washington,2020-03-05,"medical aid, medical staff protective equipment"
US:California,2020-03-02,confirmed case isolation
US:California,2020-02-02,confirmed case isolation
US:California,2020-01-31,confirmed case isolation
US: S Carolina,2020-03-19,"limited nonessential business suspension, mandated remote work, remote work"
US:California,2020-03-02,confirmed case isolation
US:Washington,2020-03-09,test vulnerable
US:Washington,2020-03-09,unemployment benefits extension
US:Washington,2020-03-17,evictions prohibited
US:Washington,2020-03-16,shopping vouchers
US: S Carolina,2020-03-17,outdoor gatherings banned
Italy,2020-02-23,international traveller screening - risk countries
Italy,2020-02-24,remote work - limited
Italy,2020-02-24,very large event cancellation or postponement
Italy,2020-02-24,public announcement
Italy,2020-02-24,expansion of testing facilities
Italy,2020-02-24,domestic traveller quarantine
Italy,2020-02-24,phone line
Italy,2020-02-24,"cluster isolation - no symptoms, compulsory isolation"
Italy,2020-02-23,"public mask and hygiene supply, public transport cleaning"
Italy,2020-02-25,public facility temperature screening
Italy,2020-02-25,domestic travel limitation
Italy,2020-02-25,activity cancellation - other
United States,2020-02-25,international travel ban - risk countries
Italy,2020-02-24,quaratine violation
Italy,2020-02-24,court cancellation
Italy,2020-02-25,school closure - limited
Italy,2020-02-24,"school closure, university closure"
Italy,2020-02-25,sports cancellation
US: S Carolina,2020-03-17,financial incentive
US: S Carolina,2020-03-17,restaurant limitations
Spain,2020-03-14,"closure nonessential stores, general nonessential business suspension, public announcement, special management arrangements, state of emergency"
Austria,2020-03-10,university closure
Latvia,2020-03-14,symptom hotline
Latvia,2020-03-14,international traveller screening - risk countries
US: S Carolina,2020-03-16,sports cancellation
US: S Carolina,2020-03-15,school closure
US: S Carolina,2020-03-13,school closure
US: S Carolina,2020-03-13,"public announcement, state of emergency"
Germany,2020-01-28,international travel ban - risk countries
Germany,2020-01-29,international traveller screening - risk countries
Germany,2020-01-28,"coronavirus education activities, phone line"
Germany,2020-02-28,domestic traveller screening
Germany,2020-03-04,"medical staff protective equipment, prohibition of medicine export"
Germany,2020-03-09,social distancing advice
Germany,2020-03-09,outdoor gatherings banned
Germany,2020-02-28,activity cancellation - other
Germany,2020-03-10,outdoor gatherings banned
Germany,2020-03-12,"public announcement, social distancing advice"
Germany,2020-03-12,treatment capacity
Germany,2020-03-13,economic stimulus
Germany,2020-03-20,blanket curfew - no symptoms
Germany,2020-03-17,international travel ban - all countries
Germany,2020-03-17,treatment capacity
Germany,2020-03-22,"outdoor gatherings banned, space minimum"
Germany,2020-03-22,blanket curfew - no symptoms
Italy,2020-02-25,price gouging ban
Italy,2020-02-25,event cancellation - other
Italy,2020-02-25,remote work - limited
Italy,2020-02-25,remote schooling
Italy,2020-02-26,activity cancellation - other
Italy,2020-02-26,public facility temperature screening
Italy,2020-02-26,school closure
Italy,2020-03-02,remote schooling
Italy,2020-02-26,test symptomatic
Italy,2020-03-02,remote schooling
Italy,2020-02-26,activity cancellation - other
Italy,2020-02-26,event cancellation - other
Italy,2020-02-26,school closure
Italy,2020-02-26,school closure
Italy,2020-02-26,event cancellation - other
Italy,2020-02-26,remote schooling - limited
Italy,2020-02-22,university closure
Italy,2020-03-01,"cluster isolation - no symptoms, public announcement"
Italy,2020-02-28,test contacts
Italy,2020-02-27,"case reporting, diagnostic criteria tightened"
Italy,2020-02-29,school closure
Italy,2020-03-07,outbound traveller ban
Italy,2020-03-07,blanket isolation - no symptoms
Italy,2020-03-04,"school closure, university closure"
Italy,2020-03-05,public announcement
Italy,2020-03-04,sports cancellation
Italy,2020-03-16,domestic travel ban
Italy,2020-03-15,cluster isolation - no symptoms
Italy,2020-03-20,"blanket isolation - no symptoms, compulsory isolation, domestic travel ban, outdoor gatherings banned, public green closure, sports cancellation"
Italy,2020-03-19,army deployed
Italy,2020-03-11,general nonessential business suspension
Italy,2020-03-11,"economic incentives, financial incentive"
Italy,2020-03-09,sports cancellation
Italy,2020-03-07,"religious activity cancellation, religious activity limitations"
Italy,2020-03-07,"cultural activity limitation, limited nonessential business suspension"
Italy,2020-03-07,limited nonessential business suspension
Italy,2020-03-08,"prisons closed to visitors, riots"
Austria,2020-02-25,"case reporting, first case"
Austria,2020-03-13,outbound traveller ban
Austria,2020-03-01,source tracing
Italy,2020-03-07,sports cancellation
Albania,2020-03-10,domestic travel ban
Albania,2020-03-08,international traveller quarantine - risk countries
Albania,2020-03-08,"outdoor gatherings banned, sports cancellation"
Albania,2020-03-08,school closure
Albania,2020-03-08,international travel ban - risk countries
Albania,2020-02-25,public announcement
Albania,2020-02-25,financial incentive
Albania,2020-02-25,public announcement
Albania,2020-03-10,financial incentive
Albania,2020-03-10,retired doctors called
Austria,2020-03-16,household quarantine
Albania,2020-03-10,international traveller quarantine - risk countries
Albania,2020-03-10,"limited nonessential business suspension, restaurant limitations"
Albania,2020-03-10,public transport cleaning
Albania,2020-03-10,isolation allowance
Albania,2020-03-12,compulsory isolation
Albania,2020-03-12,public transport limited
Albania,2020-03-11,religious activity cancellation
Albania,2020-03-11,public announcement
Albania,2020-03-12,mandated remote work
Albania,2020-03-12,financial incentive
Albania,2020-03-12,international travel ban - risk countries
Albania,2020-03-13,"blanket curfew - no symptoms, domestic travel ban"
Albania,2020-03-12,"religious activity cancellation, religious activity limitations"
Albania,2020-03-12,sports cancellation
Albania,2020-03-15,international travel ban - all countries
Albania,2020-03-13,international travel ban - risk countries
Albania,2020-03-12,limited nonessential business suspension
Albania,2020-03-12,restaurant limitations
Albania,2020-03-12,public transport stopped
Albania,2020-03-12,restaurant limitations
Albania,2020-03-15,remote schooling
Albania,2020-03-16,compulsory isolation
Andorra,2020-03-12,case reporting
Andorra,2020-03-02,case reporting
Albania,2020-03-15,"limited nonessential business suspension, public green closure"
Albania,2020-03-15,international travel ban - risk countries
Albania,2020-03-16,outdoor gatherings banned
Albania,2020-03-16,international travel ban - all countries
Albania,2020-03-15,domestic travel limitation
Andorra,2020-03-13,general nonessential business suspension
Andorra,2020-03-15,case reporting
Andorra,2020-03-16,school closure
Russia,2020-01-30,international travel ban - risk countries
Belarus,2020-03-21,case reporting
Belarus,2020-03-20,case reporting
Belarus,2020-03-18,case reporting
Andorra,2020-03-17,"case reporting, public announcement"
US: S Carolina,2020-03-12,sports cancellation
US: S Carolina,2020-03-12,sports cancellation
Bosnia and Herzegovina,2020-03-24,international travel ban - all countries
Bosnia and Herzegovina,2020-03-18,"general nonessential business suspension, outdoor gatherings banned, restaurant limitations"
Bosnia and Herzegovina,2020-03-15,international travel ban - risk countries
US: Florida,2020-03-16,sports cancellation
US: Florida,2020-03-12,sports cancellation
US: Florida,2020-03-12,"remote schooling, university closure"
Mexico,2020-03-11,"confirmed case isolation, contact isolation - no symptoms"
Mexico,2020-03-13,sports cancellation
Mexico,2020-03-14,sports cancellation
Mexico,2020-03-20,school closure
Mexico,2020-03-17,"remote schooling, university closure"
Mexico,2020-03-18,"special management arrangements, state of emergency"
Mexico,2020-03-21,cultural activity limitation
Mexico,2020-03-15,sports cancellation
Mexico,2020-03-19,international traveller screening - all countries
Mexico,2020-03-17,hospital construction
Mexico,2020-03-17,outdoor gatherings banned
Mexico,2020-03-23,social distancing advice
Bulgaria,2020-03-18,international travel ban - risk countries
Croatia,2020-03-17,"general nonessential business suspension, restaurant limitations"
Croatia,2020-03-02,very large event cancellation or postponement
Croatia,2020-03-11,very large event cancellation or postponement
Croatia,2020-03-16,school closure
Croatia,2020-03-13,remote schooling
Croatia,2020-03-14,price ban
Croatia,2020-03-20,remote cultural content
Croatia,2020-03-18,remote cultural content
Bulgaria,2020-03-21,"medical aid, medical staff protective equipment"
Bulgaria,2020-03-20,case reporting
Croatia,2020-03-11,very large event cancellation or postponement
Bulgaria,2020-03-19,case reporting
Bulgaria,2020-03-17,blanket isolation - no symptoms
Bulgaria,2020-03-16,hygiene enforcement
Croatia,2020-03-19,cultural activity limitation
Croatia,2020-03-11,"public hygiene, religious activity limitations"
Bulgaria,2020-03-21,prohibition of medicine export
Bulgaria,2020-03-21,medical aid
US: Florida,2020-03-17,school closure
US: Florida,2020-03-17,restaurant limitations
US: Florida,2020-03-01,"public announcement, state of emergency"
Egypt,2020-01-26,international travel ban - risk countries
Egypt,2020-03-19,"international travel ban - all countries, outbound traveller ban"
Egypt,2020-03-13,cohort isolation - no symptoms
Egypt,2020-03-20,"international traveller quarantine - risk countries, voluntary isolation"
Egypt,2020-03-17,prohibition of medicine export
Egypt,2020-03-15,school closure
Egypt,2020-03-19,hygiene enforcement
Egypt,2020-03-17,cultural activity limitation
Egypt,2020-03-08,international traveller screening - risk countries
Egypt,2020-03-13,international travel ban - risk countries
Egypt,2020-03-17,economic stimulus
Egypt,2020-03-19,"domestic travel ban, public facility cleaning"
Egypt,2020-03-21,religious activity limitations
Egypt,2020-03-19,restaurant limitations
Palestine,2020-03-22,blanket curfew - no symptoms
US:Georgia,2020-03-18,school closure
US:Georgia,2020-03-12,"public announcement, state of emergency"
US:N Carolina,2020-03-20,army deployed
US:Georgia,2020-03-20,outdoor gatherings banned
US:Georgia,2020-03-20,blanket curfew - no symptoms
US:Georgia,2020-03-20,"limited nonessential business suspension, restaurant limitations"
US:Georgia,2020-03-15,outdoor gatherings banned
US:N Carolina,2020-03-10,"public announcement, state of emergency"
US:N Carolina,2020-03-12,sports cancellation
US:N Carolina,2020-03-20,"remote schooling, university closure"
US:N Carolina,2020-03-17,"public announcement, restaurant limitations"
US:N Carolina,2020-03-19,financial incentive
US:Georgia,2020-03-20,social distancing
US:Georgia,2020-03-16,"remote schooling, university closure"
US:Georgia,2020-03-16,"remote schooling, school closure"
US:Georgia,2020-03-09,quarantine centre
US:Georgia,2020-03-20,sports cancellation
Slovakia,2020-03-18,"public announcement, public hygiene"
Slovakia,2020-03-19,international traveller quarantine - risk countries
Croatia,2020-03-16,religious activity cancellation
Croatia,2020-03-20,religious activity limitations
Croatia,2020-03-11,sports cancellation
Croatia,2020-03-11,sports cancellation
Croatia,2020-03-13,sports cancellation
Croatia,2020-03-12,"sports cancellation, very large event cancellation or postponement"
Croatia,2020-03-14,international travel ban - risk countries
Croatia,2020-03-13,international traveller quarantine - risk countries
Croatia,2020-03-15,international traveller quarantine - all countries
Croatia,2020-03-02,international travel ban - risk countries
Croatia,2020-03-11,domestic travel limitation
Croatia,2020-03-18,international travel ban - all countries
Croatia,2020-03-21,domestic travel ban
Greece,2020-03-18,financial incentive
Croatia,2020-03-19,"airport closure, case reporting"
Denmark,2020-03-11,medical aid
Denmark,2020-03-06,new testing method commenced
Denmark,2020-02-25,"testing, testing planned"
Denmark,2020-03-17,medical aid
Denmark,2020-02-29,contact isolation
Denmark,2020-03-11,outdoor gatherings banned
Denmark,2020-03-11,new testing method commenced
Denmark,2020-03-06,sports cancellation
Denmark,2020-03-12,indoor gatherings banned
Denmark,2020-03-18,"compulsory isolation, outdoor gatherings banned"
Denmark,2020-03-10,public hygiene
Denmark,2020-03-18,"limited nonessential business suspension, restaurant limitations, space minimum"
Denmark,2020-03-11,international travel ban - risk countries
Denmark,2020-03-14,international travel ban - all countries
Greece,2020-03-18,international traveller quarantine - risk countries
Greece,2020-03-19,financial incentive
Estonia,2020-03-17,international travel ban - all countries
Singapore,2020-03-20,"compulsory isolation, international traveller quarantine - all countries"
Singapore,2020-03-13,"compulsory isolation, international traveller quarantine - risk countries"
Singapore,2020-03-13,outdoor gatherings banned
Singapore,2020-02-01,international travel ban - risk countries
Singapore,2020-02-26,international travel ban - risk countries
Singapore,2020-03-04,international travel ban - risk countries
Singapore,2020-03-15,international travel ban - risk countries
Singapore,2020-01-23,confirmed case isolation
Singapore,2020-01-23,"contact isolation - no symptoms, contact tracing"
Singapore,2020-01-27,international traveller screening - all countries
US:Maryland,2020-03-12,outdoor gatherings banned
US: Indiana,2020-03-06,first case
US:Maryland,2020-03-16,school closure
Singapore,2020-01-29,international travel ban - risk countries
Singapore,2020-02-02,"elderly, outdoor gatherings banned"
Singapore,2020-02-07,activity cancellation - other
Singapore,2020-02-09,university closure
Singapore,2020-01-27,quarantine zone
Singapore,2020-01-28,"contact isolation - no symptoms, contacts traced total"
Singapore,2020-02-17,compulsory isolation
Singapore,2020-02-26,international traveller quarantine - risk countries
South Korea,2020-03-23,"test travellers, testing criteria loosened"
South Korea,2020-03-14,phone based location tracing
South Korea,2020-03-15,public announcement
South Korea,2020-03-23,"public mask encouragement, public transport cleaning"
South Korea,2020-03-17,international traveller quarantine - all countries
South Korea,2020-03-12,public mask encouragement
US:Maryland,2020-03-15,"remote schooling, university closure"
South Korea,2020-02-04,"handwashing encouragement, medical staff protective equipment, public announcement"
South Korea,2020-03-11,public mask and hygiene supply
US:Delaware,2020-03-13,school closure
US:Delaware,2020-03-13,"remote schooling, university closure"
US:Maryland,2020-03-05,first case
US:Maryland,2020-03-05,"public announcement, state of emergency"
US: Illinois,2020-03-21,domestic travel limitation
US:Maryland,2020-01-24,testing commenced
US:Delaware,2020-03-24,general nonessential business suspension
US:Delaware,2020-03-16,restaurant limitations
US:Delaware,2020-03-16,sports cancellation
US: Illinois,2020-03-15,restaurant limitations
US: Illinois,2020-03-13,"nursery school closure, school closure"
US:Delaware,2020-03-12,sports cancellation
US: Illinois,2020-03-16,outdoor gatherings banned
US:Maryland,2020-03-30,coronavirus education activities
US: Illinois,2020-01-24,first case
US: Wisconsin,2020-03-12,"emergency declaration, state of emergency"
US: Wisconsin,2020-03-17,outdoor gatherings banned
South Korea,2020-03-11,quarantine zone
US: Wisconsin,2020-03-13,school closure
US: Wisconsin,2020-03-17,"limited nonessential business suspension, restaurant limitations"
US: Wisconsin,2020-03-18,religious activity cancellation
US: Wisconsin,2020-03-20,"general nonessential business suspension, limited nonessential business suspension"
US: Wisconsin,2020-02-05,first case
US:Delaware,2020-03-12,"remote schooling, university closure"
US: Virginia,2020-03-12,sports cancellation
US: Virginia,2020-03-16,sports cancellation
South Korea,2020-03-11,hospital specialisation
South Korea,2020-03-18,healthcare entry screening
South Korea,2020-03-18,"healthcare entry screening, hospital specialisation"
US: Virginia,2020-03-13,school closure
US: Virginia,2020-03-11,outdoor gatherings banned
US: Virginia,2020-03-17,outdoor gatherings banned
Greece,2020-03-22,"domestic travel limitation, public transport limited"
Greece,2020-03-23,"blanket curfew - no symptoms, domestic travel ban"
US:Delaware,2020-03-12,outdoor gatherings banned
US: Illinois,2020-03-17,school closure
Greece,2020-03-22,limited nonessential business suspension
US:Delaware,2020-03-12,"public announcement, state of emergency"
US: Virginia,2020-03-20,army deployed
US: Virginia,2020-03-07,first case
US: Virginia,2020-03-12,school closure
US: Virginia,2020-03-19,"remote schooling, university closure"
US: Virginia,2020-03-12,"public announcement, state of emergency"
US:Delaware,2020-03-11,first case
Greece,2020-03-20,domestic travel ban
Greece,2020-03-19,international traveller quarantine - all countries
Greece,2020-03-19,financial incentive
US:Delaware,2020-03-04,coronavirus education activities
US: Illinois,2020-03-21,general nonessential business suspension
US: Illinois,2020-03-21,"blanket curfew - no symptoms, social distancing"
US: Illinois,2020-03-21,outdoor gatherings banned
US:Delaware,2020-03-13,very large event cancellation or postponement
US: Indiana,2020-03-16,restaurant limitations
US: Indiana,2020-03-25,general nonessential business suspension
US: Indiana,2020-03-19,"nursery school closure, school closure"
US:Maryland,2020-03-16,school closure
US:Maryland,2020-03-05,army deployed
US:Maryland,2020-03-12,religious activity limitations
US:Maryland,2020-03-12,prisons closed to visitors
US: Indiana,2020-03-17,outdoor gatherings banned
US:Maryland,2020-03-12,mandated remote work
US:Maryland,2020-03-15,contact tracing
US:Maryland,2020-03-16,general nonessential business suspension
US:Maryland,2020-03-12,sports cancellation
US:Maryland,2020-03-14,social distancing
US:Maryland,2020-03-16,"limited nonessential business suspension, restaurant limitations"
Palestine,2020-03-07,cluster isolation - no symptoms
Palestine,2020-03-05,religious activity cancellation
US: Indiana,2020-03-25,domestic travel limitation
US: Indiana,2020-03-25,blanket curfew - no symptoms
US: Indiana,2020-03-25,outdoor gatherings banned
Palestine,2020-03-05,state of emergency
US:Maryland,2020-03-16,evictions prohibited
US:Maryland,2020-03-16,outdoor gatherings banned
Greece,2020-03-13,public announcement
Greece,2020-03-11,"public announcement, public hygiene"
Greece,2020-03-16,religious activity limitations
Palestine,2020-03-05,school closure
Nepal,2020-01-25,case reporting
Nepal,2020-01-25,case reporting
China,2020-02-02,"blanket isolation - no symptoms, compulsory isolation"
