Country Code,Country Name,GDP 2016,HEALTH Perc 2016,HEALTH 2016
AFG,Afghanistan,19362642266.6484,10.19867734,1974733409.2739325
AGO,Angola,101123851090.455,2.87782524,2910167710.3411293
ALB,Albania,11861353752.0672,6.69789475,794460990.238637
AND,Andorra,2877311946.90265,10.36772767,298311866.87124175
ARB,Arab World,2510521024647.25,4.88791523189039,122712139563.54364
ARE,United Arab Emirates,357045064669.84296,3.51684955,12556737750.138582
ARG,Argentina,557531376217.967,7.54838404,42084609420.42938
ARM,Armenia,10546135160.031,9.92732109,1046948699.9216628
ATG,Antigua and Barbuda,1436585185.18519,4.30900835,61902575.584492795
AUS,Australia,1208846993739.99,9.25209201,111843636120.94281
AUT,Austria,395227684138.8621,10.43762567,41252386214.62439
AZE,Azerbaijan,37867518957.1975,6.89059972,2609299155.235598
BDI,Burundi,2959640987.29943,6.19156298,183248035.710538
BEL,Belgium,476056833074.336,10.03841793,47788574488.32432
BEN,Benin,8578984066.299741,3.85561779,330772835.8615182
BFA,Burkina Faso,10867024151.6053,6.75254452,733800643.8363003
BGD,Bangladesh,221415188000.475,2.36505997,5236601978.899478
BGR,Bulgaria,53240950226.2443,8.23011604,4381791984.418549
BHR,Bahrain,32250132978.7234,4.86947429,1570411933.8897474
BHS,"Bahamas, The",11938400000.0,6.37542177,761123352.5896801
BIH,Bosnia and Herzegovina,16913330693.9653,9.22955617,1561025356.6173782
BLR,Belarus,47722657820.6675,6.31679395,3014541961.9951267
BLZ,Belize,1775100178.68896,6.12137415,108660523.47486982
BOL,Bolivia,33941126193.9219,6.86056405,2328552701.8253393
BRA,Brazil,1796275437087.99,11.77150303,211448617503.95847
BRB,Barbados,4840500000.0,6.96244846,337017317.7063
BRN,Brunei Darussalam,11400854267.7188,2.3409551,266888879.42373088
BTN,Bhutan,2158972128.46907,3.45418055,74574795.34149963
BWA,Botswana,15646316818.3319,5.46320154,854789821.3723874
CAF,Central African Republic,1823779165.27967,4.28252151,78103735.04800032
CAN,Canada,1526705529135.32,10.53465477,160833156848.90775
CEB,Central Europe and the Baltics,1317002605342.08,6.67777416980932,87946459795.2492
CHE,Switzerland,671308872735.114,12.24760438,82219254900.43445
CHL,Chile,250339863130.847,8.52893972,21351336021.560444
CHN,China,11137945669350.6,4.98188075,554879171246.8362
CIV,Cote d'Ivoire,35296977343.6523,4.40362075,1554345018.4278715
CMR,Cameroon,32621535418.9031,4.690249099999999,1530031271.3912835
COD,"Congo, Dem. Rep.",37134799974.5225,3.87116143,1437548053.7213647
COG,"Congo, Rep.",9035848070.90357,4.63481785,418795099.28911936
COL,Colombia,282825009887.458,5.91234407,16721587700.558037
COM,Comoros,1012147323.7934301,7.63108978,77237870.98454395
CPV,Cabo Verde,1663008687.09505,5.23696219,87091136.15958318
CRI,Costa Rica,57157992434.1805,7.55572353,4318699883.624996
CSS,Caribbean small states,68106378709.8642,6.1289264951958895,4174189889.6673193
CUB,Cuba,91370000000.0,12.19122021,11139117905.876999
CYP,Cyprus,20890936462.2537,6.87966475,1437226391.7385647
CZE,Czech Republic,195090272402.72894,7.14959908,13948172320.875002
DEU,Germany,3466790065011.83,11.13916763,386171556721.8537
DJI,Djibouti,2618587757.14607,3.50192451,91700966.4833575
DMA,Dominica,576229629.629629,5.30393975,30562872.37720367
DNK,Denmark,313115929314.339,10.35004017,32407624462.702892
DOM,Dominican Republic,75704647977.3087,6.16130052,4664390869.49009
DZA,Algeria,160032930353.764,6.648475,10639749366.337412
EAP,East Asia & Pacific (excluding high income),13462443506492.4,4.77776300866843,643203645916.079
EAR,Early-demographic dividend,10516848773739.3,4.99012229547047,524803615439.2776
EAS,East Asia & Pacific,22462886797038.3,6.639368196890839,1491393762106.152
ECA,Europe & Central Asia (excluding high income),2961055666920.53,5.2137770105217,154382839630.6526
ECS,Europe & Central Asia,20383995368965.2,9.37772893166249,1911555831144.192
ECU,Ecuador,99937696000.0,8.38714107,8381915545.627748
EGY,"Egypt, Arab Rep.",332927833278.038,4.63781726,15440584515.112871
EMU,Euro area,11965226491773.9,10.2172690047366,1222519377690.547
ESP,Spain,1232076017361.53,8.97038932,110522015475.68004
EST,Estonia,23996451497.6139,6.68368438,1603847080.5002964
ETH,Ethiopia,74296618481.0882,3.97401588,2952559416.74146
EUU,European Union,16576327763543.2,9.92934394567587,1645920597204.765
FCS,Fragile and conflict affected situations,758695015519.4409,5.00469355838046,37970360569.455086
FIN,Finland,240570297852.344,9.49305799,22837477881.83874
FJI,Fiji,4930204219.713039,3.46146795,170657438.93491444
FRA,France,2471285607081.72,11.53929503,285168937235.08624
FSM,"Micronesia, Fed. Sts.",332265162.497548,12.56300745,41742497.11832156
GAB,Gabon,14014369641.7689,3.11291313,436255152.66535807
GBR,United Kingdom,2694283209613.29,9.7623484,263025313805.15167
GEO,Georgia,15141758566.7808,8.43609722,1277373473.511307
GHA,Ghana,55009730600.0307,4.44871433,2447225768.0979605
GIN,Guinea,8603833218.24226,5.47827339,471341505.7149464
GMB,"Gambia, The",1467255923.49024,4.43153755,65021997.204069264
GNB,Guinea-Bissau,1178204501.38801,6.09011769,71754040.76340748
GNQ,Equatorial Guinea,11233177619.4663,3.37653274,379291920.0636322
GRC,Greece,195222443512.93695,8.45429347,16504678293.888666
GRD,Grenada,1061631222.22222,5.24666501,55700233.87156855
GTM,Guatemala,68663649521.7042,5.82031093,3996437898.048642
GUY,Guyana,3504024213.0750604,4.24328719,148685810.56791234
HIC,High income,48882853027998.3,12.5861704991279,6152479226941.972
HND,Honduras,21717622071.3816,8.40196647,1824707324.5188012
HPC,Heavily indebted poor countries (HIPC),679870183467.598,5.40704027487462,36760854636.957
HRV,Croatia,51596929180.1352,7.18008037,3704700983.585689
HTI,Haiti,7970649131.234159,5.38571841,429276717.6573832
HUN,Hungary,127507473625.632,7.36479381,9390662524.867928
IBD,IBRD only,26021680550061.5,5.546942679551848,1443407704368.0034
IBT,IDA & IBRD total,28076581427309.5,5.459137997479839,1532739325091.6204
IDA,IDA total,2066071129895.94,4.291301724786241,88661346032.53503
IDB,IDA blend,949705911350.1228,3.87097673132073,36762894844.34073
IDN,Indonesia,931877364177.742,3.12449094,29116423815.644352
IDX,IDA only,1113591405725.41,4.70268529173091,52368699247.02834
IND,India,2290432075123.75,3.65833057,83791576789.33751
IRL,Ireland,300523297712.96,7.37830423,22173523187.290825
IRN,Iran,418976679728.567,8.10277065,33948719435.39083
IRQ,Iraq,174878976033.941,3.31216318,5792277053.757219
ISL,Iceland,20716024757.4057,8.29151473,1717672244.2307403
ISR,Israel,318950599017.50604,7.31441124,23329358464.583794
ITA,Italy,1875579883543.09,8.93549301,167592309390.95895
JAM,Jamaica,14075894320.3166,6.0723917,854743438.4076767
JOR,Jordan,39196676056.338,5.46821058,2143356787.1210012
JPN,Japan,4926667087367.51,10.92612327,538293719068.2927
KAZ,Kazakhstan,137278320084.171,3.52614962,4840638961.990379
KEN,Kenya,69188755511.0911,4.54957525,3147794496.5156116
KGZ,Kyrgyz Republic,6813092065.835072,6.62528772,451386951.99006534
KHM,Cambodia,20159271964.9628,6.08196009,1226078875.3435962
KIR,Kiribati,178328873.03003302,11.85986702,21149567.19962656
KNA,St. Kitts and Nevis,971166666.666667,5.67183165,55082938.37425001
KOR,South Korea,1414804158515.26,7.33752488,103811607134.33183
KWT,Kuwait,109420059582.92,3.903945,4271698945.0844264
LAC,Latin America & Caribbean (excluding high income),4861575277282.66,8.59066860354515,417641820983.2346
LAO,Lao PDR,15805692545.8723,2.36087478,373152609.119839
LBN,Lebanon,51239050082.9187,8.01673185,4107697247.634794
LBR,Liberia,3277826000.0,9.61511081,315166602.05899054
LCA,St. Lucia,1701596814.81481,5.30656361,90296317.3638818
LCN,Latin America & Caribbean,5393582217284.15,8.55831004294781,461599488576.47656
LDC,Least developed countries: UN classification,972596714372.748,4.31757867673393,41992628350.37258
LIC,Low income,508651872173.688,5.37774480006719,27353999606.264915
LKA,Sri Lanka,82401038709.5356,3.89324108,3208071089.386342
LMC,Lower middle income,6024343572549.64,3.95667239842586,238363539321.41397
LMY,Low & middle income,27292696035924.6,5.419452972943982,1479114826715.48
LSO,Lesotho,2314323471.3948,8.0765782,186918144.96815568
LTE,Late-demographic dividend,18424530953922.9,5.7854904018793,1065949469930.4899
LTU,Lithuania,43021972484.8299,6.67158258,2870246421.870305
LUX,Luxembourg,60691483443.1221,6.16378558,3740892904.755247
LVA,Latvia,27734140217.3664,6.24292955,1731422835.0684016
MAR,Morocco,103311649248.024,5.83767147,6030994673.3383665
MCO,Monaco,6468694690.26549,1.74986203,113193232.22158192
MDA,Moldova,8071480540.86068,8.98095464,724896006.1511242
MDG,Madagascar,11848613735.1933,6.00363747,711347813.8816316
MDV,Maldives,4379136461.8307705,10.61083995,464663161.15695596
MEA,Middle East & North Africa,3154095675160.35,5.58316435533018,176098345468.56348
MEX,Mexico,1077903618176.07,5.46900124,58950562244.05413
MHL,Marshall Islands,200558400.0,23.28730052,46704637.32610368
MIC,Middle income,26786575822943.3,5.42001961952384,1451837665002.1565
MKD,North Macedonia,10672471860.7184,6.34410858,677073203.0139216
MLI,Mali,14010787737.8424,3.81961944,535158772.13176453
MLT,Malta,11452895366.67,9.29531092,1064582233.6742506
MMR,Myanmar,63256184700.2223,5.08779798,3218346887.402979
MNA,Middle East & North Africa (excluding high income),1458150907733.31,6.12091303460474,89252148975.6555
MNE,Montenegro,4374128318.58407,7.64204428,334272822.9702141
MNG,Mongolia,11186734674.3847,3.8090161,426104524.81159586
MOZ,Mozambique,11936999283.1791,5.066196499999998,604751839.8894445
MRT,Mauritania,4679346590.90909,4.2410152000000005,198451800.18113637
MUS,Mauritius,12232463655.5727,5.745666,702836505.2205977
MWI,Malawi,5433040159.88747,9.83034233,534086446.6433177
MYS,Malaysia,301255454041.415,3.80219497,11454319720.413342
NAC,North America,20239948343915.9,16.5800470234836,3355792952950.0464
NAM,Namibia,11286139080.0065,9.12250271,1029578343.4279618
NER,Niger,7528285443.607691,6.22894111,468932466.87502533
NGA,Nigeria,404649527537.753,3.64671499,14756414977.683416
NIC,Nicaragua,13286048705.496,8.74635494,1162044977.2839553
NLD,Netherlands,783528181704.567,10.35932019,81168193121.66109
NOR,Norway,368827142857.1429,10.50063009,38729173942.94443
NPL,Nepal,21185922407.5922,6.29441655,1333530206.293642
NRU,Nauru,102052700.538652,11.10191475,11329803.813873937
NZL,New Zealand,187854022728.45895,9.22193561,17323777016.813248
OED,OECD members,47794485710761.6,12.586321100733096,6015567440000.452
OMN,Oman,65941482444.7334,4.29254957,2830570821.133029
OSS,Other small states,367308799389.9,4.830675596288692,17743496535.148888
PAK,Pakistan,278654637737.69,2.75283024,7670889132.805582
PAN,Panama,57957600000.0,7.26068297,4208117593.02072
PER,Peru,191895943823.887,5.14391365,9870961648.153255
PHL,Philippines,304897590205.413,4.38594904,13372652930.597446
PLW,Palau,300125600.0,11.68764783,35077623.175674476
PNG,Papua New Guinea,20759069104.55,1.97579249,410156128.3616091
POL,Poland,472028000405.803,6.51647873,30759604246.088467
PRE,Pre-demographic dividend,1236063707422.04,4.23728645073619,52375559997.06152
PRT,Portugal,206286022781.894,9.07636096,18723264037.712536
PRY,Paraguay,36054281572.3981,8.02487617,2893311450.168077
PSS,Pacific island small states,9315360628.35708,5.27047362265308,490963624.77257013
PST,Post-demographic dividend,45405177643131.9,13.002219493141,5903680858410.595
QAT,Qatar,151732142857.143,3.07944355,4672505686.491076
ROU,Romania,188494136775.719,4.98040299,9387767623.952599
RUS,Russian Federation,1282723881134.01,5.27112755,67614011888.884056
RWA,Rwanda,8475622319.014,6.76069372,573010865.8524978
SAS,South Asia,2919989612835.99,3.55325375495857,103754640562.49504
SAU,Saudi Arabia,644935541440.0,5.74181331,37030994759.32249
SDN,Sudan,95558220776.921,5.6648529000000005,5413232640.869813
SEN,Senegal,19027392875.8489,5.51241197,1048868282.467222
SGP,Singapore,318068476293.883,4.46958366,14216336644.042366
SLB,Solomon Islands,1230459709.77114,5.17074913,63623984.73799175
SLE,Sierra Leone,3674794530.18956,16.53171514,607506563.7112393
SLV,El Salvador,24154000000.0,6.95775683,1680576584.7182
SMR,San Marino,1564380530.97345,6.39562063,100051843.9706415
SRB,Serbia,40630392018.541,9.13502874,3711597988.068386
SSA,Sub-Saharan Africa (excluding high income),1555207594557.1,5.15712314187463,80203970763.09598
SSF,Sub-Saharan Africa,1556636332371.29,5.15599177688243,80260041293.02795
SST,Small states,444682719510.476,5.038519338776349,22405424818.731922
STP,Sao Tome and Principe,347545391.785,5.99199802,20824912.994358443
SUR,Suriname,3166040522.7499,6.06415279,191993534.69286862
SVK,Slovak Republic,89640741266.0295,7.12513052,6387019814.300101
SVN,Slovenia,44651537259.9731,8.46829514,3781223959.721591
SWE,Sweden,515744370225.386,10.93479344,56395581562.57482
SWZ,Eswatini,3840677844.5785203,7.69694547,295614879.3755801
SYC,Seychelles,1427524565.30226,3.93610353,56188844.80647941
TCD,Chad,10090922857.3905,4.5381013,457936301.3732354
TEA,East Asia & Pacific (IDA & IBRD countries),13436590885148.0,4.777917350893,641989207269.9937
TEC,Europe & Central Asia (IDA & IBRD countries),3484680596506.47,5.419749964192599,188860975381.38586
TGO,Togo,4483932937.18367,6.61568574,296642911.9164232
THA,Thailand,412352789519.611,3.71143463,15304204228.001854
TJK,Tajikistan,6952678127.03396,6.99849461,486582803.97112066
TKM,Turkmenistan,36180000000.0,6.61802128,2394400099.104
TLA,Latin America & the Caribbean (IDA & IBRD countries),5158626846011.5,8.49563750666762,438258237158.7779
TLS,Timor-Leste,2503532100.0,4.02059179,100656806.0726146
TMN,Middle East & North Africa (IDA & IBRD countries),1444558654200.28,6.12091303460474,88420178957.45576
TON,Tonga,401109307.359307,5.26385403,21113808.440137967
TSA,South Asia (IDA & IBRD),2919989612835.99,3.55325375495857,103754640562.49504
TSS,Sub-Saharan Africa (IDA & IBRD countries),1556636332371.29,5.15599177688243,80260041293.02795
TTO,Trinidad and Tobago,22284780326.8856,6.5104014,1450828650.3884847
TUN,Tunisia,41802653631.2849,6.95195517,2906101740.3173027
TUR,Turkey,863721648068.8059,4.3143198,37263714079.51881
TUV,Tuvalu,36547419.8730745,15.45402053,5648045.770370233
TZA,Tanzania,49774021003.0747,4.13992059,2060604943.977214
UGA,Uganda,24133664284.5089,6.16503174,1487848063.1650174
UKR,Ukraine,93355993628.5042,6.72703787,6280093045.304265
UMC,Upper middle income,20751564752096.5,5.854028786863871,1214802574312.4255
URY,Uruguay,52687612262.177,9.06075776,4773896916.603914
USA,US,18707188235000.0,17.07341533,3193955943926.4463
UZB,Uzbekistan,81779012350.8833,6.33520937,5180871653.146616
VCT,St. Vincent and the Grenadines,774429629.62963,3.56292208,27592324.268136308
VNM,Vietnam,205276172134.901,5.65919354,11616975872.617598
VUT,Vanuatu,804332795.575017,3.69175091,29693963.30006913
WLD,World,76163840829219.8,10.0212714056671,7632585202476.407
WSM,Samoa,799376439.9992732,5.53209386,44222254.95548637
ZAF,South Africa,296357282715.109,8.1098146,24034026181.79319
ZMB,Zambia,20954754378.1394,4.47720737,938187807.383455
ZWE,Zimbabwe,20548678100.0,9.41366844,1934384425.1368918
